,K_r,K_theta,sigma_r,sigma_t,lengths,angles
307,65.0,20.0,0.07513437431180589,0.028760665139982215,[2.       2.000005 2.       ... 2.004218 2.004429 2.004647],[180.    179.999 179.996 ... 163.527 163.587 163.646]
315,70.0,0.0,0.033650102914654874,0.17421472967496446,[2.       2.000005 2.       ... 2.055276 2.05562  2.055982],[180.    179.999 179.996 ... 138.983 138.931 138.878]
316,70.0,1.0,0.07111705370425324,0.15121920913653325,[2.       2.000005 2.       ... 2.35115  2.34978  2.34842 ],[180.    179.999 179.996 ... 134.927 135.021 135.116]
327,70.0,2.0,0.07516290744441213,0.11776851930840379,[2.       2.000005 2.       ... 2.15692  2.15813  2.15932 ],[180.    179.999 179.996 ... 142.011 141.989 141.968]
329,70.0,3.0,0.06259313431457357,0.09575423001507702,[2.       2.000005 2.       ... 1.976742 1.977098 1.977471],[180.    179.999 179.996 ... 140.289 140.317 140.345]
330,70.0,4.0,0.06712860569916314,0.07766885849810534,[2.       2.000005 2.       ... 1.910252 1.910982 1.911731],[180.    179.999 179.996 ... 157.328 157.257 157.184]
331,70.0,5.0,0.07760723003636101,0.05554244791319914,[2.       2.000005 2.       ... 1.967723 1.968895 1.970084],[180.    179.999 179.996 ... 157.246 157.238 157.23 ]
332,70.0,6.0,0.06737546607800057,0.061490304774540414,[2.       2.000005 2.       ... 2.044186 2.044929 2.045691],[180.    179.999 179.996 ... 156.862 156.729 156.595]
333,70.0,7.0,0.0672919497888541,0.051368758167859456,[2.       2.000005 2.       ... 2.08587  2.08645  2.08705 ],[180.    179.999 179.996 ... 148.417 148.369 148.322]
334,70.0,8.0,0.06802227672848193,0.04575606373833241,[2.       2.000005 2.       ... 2.07941  2.0797   2.08001 ],[180.    179.999 179.996 ... 150.774 150.802 150.83 ]
335,70.0,9.0,0.06928945190638752,0.042184199307441404,[2.       2.000005 2.       ... 2.057683 2.058024 2.058357],[180.    179.999 179.996 ... 161.425 161.479 161.534]
317,70.0,10.0,0.06957859819485905,0.041682819882349696,[2.       2.000005 2.       ... 2.0723   2.07252  2.07275 ],[180.    179.999 179.996 ... 161.531 161.587 161.643]
318,70.0,11.0,0.06913175937486235,0.041060351395213954,[2.       2.000005 2.       ... 2.07195  2.07207  2.0722  ],[180.    179.999 179.996 ... 159.212 159.278 159.344]
319,70.0,12.0,0.0688635413284756,0.03938726989547042,[2.       2.000005 2.       ... 2.03935  2.03967  2.04    ],[180.    179.999 179.996 ... 166.778 166.815 166.85 ]
320,70.0,13.0,0.06892529089976841,0.03581650071343086,[2.       2.000005 2.       ... 2.03599  2.03666  2.03733 ],[180.    179.999 179.996 ... 168.052 167.952 167.85 ]
321,70.0,14.0,0.06894675945727179,0.034208070141553554,[2.       2.000005 2.       ... 2.05071  2.0514   2.0521  ],[180.    179.999 179.996 ... 163.026 162.955 162.884]
322,70.0,15.0,0.06872206741521858,0.03379008406358795,[2.       2.000005 2.       ... 2.05582  2.0564   2.05697 ],[180.    179.999 179.996 ... 162.078 162.06  162.043]
323,70.0,16.0,0.06839123693897195,0.031700912518299595,[2.       2.000005 2.       ... 2.058    2.05853  2.05907 ],[180.    179.999 179.996 ... 162.514 162.515 162.515]
324,70.0,17.0,0.06828941126088085,0.02695912850780399,[2.       2.000005 2.       ... 2.059553 2.060029 2.060509],[180.    179.999 179.996 ... 162.948 162.963 162.978]
325,70.0,18.0,0.0684003487753375,0.024902670517148968,[2.       2.000005 2.       ... 2.053936 2.054387 2.054851],[180.    179.999 179.996 ... 165.845 165.864 165.882]
326,70.0,19.0,0.06847469606587997,0.026516538822438207,[2.       2.000005 2.       ... 2.060149 2.060581 2.061027],[180.    179.999 179.996 ... 164.596 164.613 164.63 ]
328,70.0,20.0,0.06852636231073816,0.028383359809404644,[2.       2.000005 2.       ... 2.065221 2.065511 2.065795],[180.    179.999 179.996 ... 163.607 163.669 163.73 ]
336,75.0,0.0,0.030539944452789937,0.19328674126579753,[2.       2.000005 2.       ... 2.09658  2.09565  2.09474 ],[180.    179.999 179.996 ... 104.227 104.252 104.276]
337,75.0,1.0,0.07021811248930206,0.1509116642468815,[2.       2.000005 2.       ... 2.31514  2.31339  2.31164 ],[180.    179.999 179.996 ... 138.495 138.603 138.711]
348,75.0,2.0,0.06841192339123463,0.11145378658917472,[2.       2.000005 2.       ... 2.23261  2.23307  2.23352 ],[180.    179.999 179.996 ... 130.367 130.387 130.408]
350,75.0,3.0,0.05405481865604514,0.09122184700125925,[2.       2.000005 2.       ... 1.961058 1.961484 1.961926],[180.    179.999 179.996 ... 169.813 169.792 169.769]
351,75.0,4.0,0.062353706247099544,0.09072804667881153,[2.       2.000005 2.       ... 1.968948 1.969347 1.969753],[180.    179.999 179.996 ... 135.137 135.192 135.249]
352,75.0,5.0,0.06635255310649774,0.055149970429310545,[2.       2.000005 2.       ... 1.994592 1.995336 1.996088],[180.    179.999 179.996 ... 161.921 161.891 161.86 ]
353,75.0,6.0,0.06125273635783413,0.05975936065992043,[2.       2.000005 2.       ... 2.11473  2.11565  2.11658 ],[180.    179.999 179.996 ... 153.448 153.322 153.195]
354,75.0,7.0,0.060336721868469126,0.05019932183892271,[2.       2.000005 2.       ... 2.15266  2.15329  2.15391 ],[180.    179.999 179.996 ... 148.342 148.305 148.268]
355,75.0,8.0,0.06081119234366185,0.04550046139949607,[2.       2.000005 2.       ... 2.13885  2.13913  2.13942 ],[180.    179.999 179.996 ... 152.417 152.456 152.495]
356,75.0,9.0,0.061669571733661,0.044488232131227816,[2.       2.000005 2.       ... 2.11273  2.11304  2.11337 ],[180.    179.999 179.996 ... 162.877 162.934 162.991]
338,75.0,10.0,0.061966607104342646,0.04364835421007913,[2.       2.000005 2.       ... 2.12724  2.12748  2.12772 ],[180.    179.999 179.996 ... 161.865 161.933 162.002]
339,75.0,11.0,0.06183964466487714,0.041668380094552565,[2.       2.000005 2.       ... 2.12918  2.12937  2.12955 ],[180.    179.999 179.996 ... 160.102 160.181 160.259]
340,75.0,12.0,0.06148260188530293,0.0394612423129532,[2.       2.000005 2.       ... 2.10302  2.10344  2.10387 ],[180.    179.999 179.996 ... 167.238 167.275 167.308]
341,75.0,13.0,0.06129301187314703,0.035844624919696595,[2.       2.000005 2.       ... 2.10502  2.10578  2.10653 ],[180.    179.999 179.996 ... 167.781 167.685 167.588]
342,75.0,14.0,0.06120982109999667,0.03409101245430097,[2.       2.000005 2.       ... 2.12197  2.12273  2.12349 ],[180.    179.999 179.996 ... 162.952 162.886 162.82 ]
343,75.0,15.0,0.06092109297001074,0.03365180046094657,[2.       2.000005 2.       ... 2.12807  2.1287   2.12932 ],[180.    179.999 179.996 ... 162.067 162.052 162.037]
344,75.0,16.0,0.060514224052621995,0.031889652190826276,[2.       2.000005 2.       ... 2.13052  2.13106  2.13163 ],[180.    179.999 179.996 ... 162.241 162.245 162.249]
345,75.0,17.0,0.06034932214035046,0.027259752727355726,[2.       2.000005 2.       ... 2.13124  2.13173  2.13221 ],[180.    179.999 179.996 ... 162.573 162.595 162.616]
346,75.0,18.0,0.060403690290932885,0.024988600100729532,[2.       2.000005 2.       ... 2.12401  2.12448  2.12495 ],[180.    179.999 179.996 ... 165.562 165.589 165.616]
