folder,seed,K_r_lmp,K_theta_lmp,k_phys,alpha_hat_dump,alpha_hat_temp,k_hat_dump,k_hat_temp,dump_bond_idx,N_frames
k_r1.2_k_theta10.0Seed54654651,54654651,1.2,10.0,2.4,9.220971902273055,9.082745299645666,18.44194380454611,18.16549059929133,1,8001
k_r1.2_k_theta10.0Seed54654653,54654653,1.2,10.0,2.4,9.078705539467688,8.994374028526329,18.157411078935375,17.988748057052657,0,8001
k_r1.2_k_theta10.0Seed54654659,54654659,1.2,10.0,2.4,9.576174922532042,9.5336141414313,19.152349845064084,19.0672282828626,1,8001
k_r1.2_k_theta10.0Seed54654661,54654661,1.2,10.0,2.4,9.734612917725542,9.722314682773623,19.469225835451084,19.444629365547247,1,8001
k_r1.2_k_theta10.0Seed54654685,54654685,1.2,10.0,2.4,9.61556631190574,9.864547417728941,19.23113262381148,19.729094835457882,0,8001
k_r1.2_k_theta13.0Seed54654651,54654651,1.2,13.0,2.4,9.409451789293902,9.56289858219532,18.818903578587804,19.12579716439064,0,8001
k_r1.2_k_theta13.0Seed54654653,54654653,1.2,13.0,2.4,8.981664435358233,8.972804490049,17.963328870716467,17.945608980098,0,8001
k_r1.2_k_theta13.0Seed54654659,54654659,1.2,13.0,2.4,9.715916794824112,9.772732234356681,19.431833589648225,19.545464468713362,1,8001
k_r1.2_k_theta13.0Seed54654661,54654661,1.2,13.0,2.4,9.566513770189987,9.54900302967689,19.133027540379974,19.09800605935378,1,8001
k_r1.2_k_theta13.0Seed54654685,54654685,1.2,13.0,2.4,9.472865452695363,9.586184144564951,18.945730905390725,19.172368289129903,1,8001
k_r1.2_k_theta4.0Seed54654651,54654651,1.2,4.0,2.4,9.085221056588711,8.858469166627783,18.170442113177423,17.716938333255566,1,8001
k_r1.2_k_theta4.0Seed54654653,54654653,1.2,4.0,2.4,9.423774915521898,9.407146554675572,18.847549831043796,18.814293109351144,1,8001
k_r1.2_k_theta4.0Seed54654659,54654659,1.2,4.0,2.4,9.885126578558427,9.968945315720266,19.770253157116855,19.93789063144053,0,8001
k_r1.2_k_theta4.0Seed54654661,54654661,1.2,4.0,2.4,9.67275533708628,9.500554380404166,19.34551067417256,19.001108760808332,1,8001
k_r1.2_k_theta4.0Seed54654685,54654685,1.2,4.0,2.4,9.826157454368134,9.794591937306683,19.65231490873627,19.589183874613365,1,8001
k_r1.2_k_theta7.0Seed54654651,54654651,1.2,7.0,2.4,9.156051353088762,9.017763487018525,18.312102706177523,18.03552697403705,1,8001
k_r1.2_k_theta7.0Seed54654653,54654653,1.2,7.0,2.4,9.32448275251536,9.190076605376683,18.64896550503072,18.380153210753367,0,8001
k_r1.2_k_theta7.0Seed54654659,54654659,1.2,7.0,2.4,9.923242297906846,9.837367389986133,19.846484595813692,19.674734779972265,1,8001
k_r1.2_k_theta7.0Seed54654661,54654661,1.2,7.0,2.4,9.31473236558621,9.29281686668944,18.62946473117242,18.58563373337888,1,8001
k_r1.2_k_theta7.0Seed54654685,54654685,1.2,7.0,2.4,9.780001095280847,9.795829854163236,19.560002190561693,19.59165970832647,1,8001
k_r2.2_k_theta1.0Seed54654651,54654651,2.2,1.0,4.4,9.272993800402887,9.148096172633458,18.545987600805773,18.296192345266917,1,8001
k_r2.2_k_theta1.0Seed54654653,54654653,2.2,1.0,4.4,9.509989260049272,9.408996877041336,19.019978520098544,18.81799375408267,1,8001
