folder,seed,K_r_lmp,K_theta_lmp,k_phys,alpha_hat_dump,alpha_hat_temp,k_hat_dump,k_hat_temp,dump_bond_idx,N_frames
k_r7.2_k_theta10.0Seed54654661,54654661,7.2,10.0,14.4,9.737660800306344,9.14826070169668,19.475321600612688,18.29652140339336,1,8001
k_r7.2_k_theta10.0Seed54654685,54654685,7.2,10.0,14.4,9.426538935872433,9.4258458465407,18.853077871744865,18.8516916930814,1,8001
k_r7.2_k_theta13.0Seed54654651,54654651,7.2,13.0,14.4,9.450812534556603,9.223958372000013,18.901625069113205,18.447916744000025,1,8001
k_r7.2_k_theta13.0Seed54654653,54654653,7.2,13.0,14.4,9.225223068386127,8.899057202376442,18.450446136772253,17.798114404752884,0,8001
k_r7.2_k_theta13.0Seed54654659,54654659,7.2,13.0,14.4,9.85640032474383,9.61743721282059,19.71280064948766,19.23487442564118,1,8001
k_r7.2_k_theta13.0Seed54654661,54654661,7.2,13.0,14.4,9.479808949845706,9.447193227935399,18.959617899691413,18.894386455870798,1,8001
k_r7.2_k_theta13.0Seed54654685,54654685,7.2,13.0,14.4,9.386904308873897,9.143491832600548,18.773808617747793,18.286983665201095,1,8001
k_r7.2_k_theta4.0Seed54654651,54654651,7.2,4.0,14.4,9.34232120316886,8.967772623734561,18.68464240633772,17.935545247469122,1,8001
k_r7.2_k_theta4.0Seed54654653,54654653,7.2,4.0,14.4,9.438748383486963,9.310908708799534,18.877496766973927,18.62181741759907,0,8001
k_r7.2_k_theta4.0Seed54654659,54654659,7.2,4.0,14.4,9.573485515427388,9.472447401132701,19.146971030854775,18.944894802265402,1,8001
k_r7.2_k_theta4.0Seed54654661,54654661,7.2,4.0,14.4,9.765833523982359,9.613959353658661,19.531667047964717,19.227918707317322,0,8001
k_r7.2_k_theta4.0Seed54654685,54654685,7.2,4.0,14.4,9.843441579836382,9.754583077303455,19.686883159672764,19.50916615460691,1,8001
k_r7.2_k_theta7.0Seed54654651,54654651,7.2,7.0,14.4,9.119450215158725,8.997160744919148,18.23890043031745,17.994321489838295,1,8001
k_r7.2_k_theta7.0Seed54654653,54654653,7.2,7.0,14.4,9.202721099327977,9.314954825954436,18.405442198655955,18.62990965190887,1,8001
k_r7.2_k_theta7.0Seed54654659,54654659,7.2,7.0,14.4,9.90703275531891,9.783922774708282,19.81406551063782,19.567845549416564,0,8001
k_r7.2_k_theta7.0Seed54654661,54654661,7.2,7.0,14.4,9.41620283063607,9.348748935554323,18.83240566127214,18.697497871108645,1,8001
k_r7.2_k_theta7.0Seed54654685,54654685,7.2,7.0,14.4,9.457364445105519,9.537529988414676,18.914728890211038,19.07505997682935,1,8001
k_r8.2_k_theta1.0Seed54654651,54654651,8.2,1.0,16.4,9.416190791915527,9.417345669309409,18.832381583831054,18.834691338618818,1,8001
k_r8.2_k_theta1.0Seed54654653,54654653,8.2,1.0,16.4,9.543156138478563,9.217309742465767,19.086312276957127,18.434619484931535,1,8001
k_r8.2_k_theta1.0Seed54654659,54654659,8.2,1.0,16.4,9.847138283530002,9.5492770721299,19.694276567060005,19.0985541442598,0,8001
k_r8.2_k_theta1.0Seed54654661,54654661,8.2,1.0,16.4,9.465051642965326,9.35489183008469,18.930103285930652,18.70978366016938,0,8001
k_r8.2_k_theta1.0Seed54654685,54654685,8.2,1.0,16.4,9.758175151459255,9.600906914130094,19.51635030291851,19.20181382826019,1,8001
k_r8.2_k_theta10.0Seed54654651,54654651,8.2,10.0,16.4,9.378479545837562,9.131266357919326,18.756959091675125,18.262532715838653,1,8001
k_r8.2_k_theta10.0Seed54654653,54654653,8.2,10.0,16.4,9.315788367677708,9.16687096255701,18.631576735355416,18.33374192511402,0,8001
k_r8.2_k_theta10.0Seed54654659,54654659,8.2,10.0,16.4,9.538177789872604,9.33339194324949,19.076355579745208,18.66678388649898,0,8001
k_r8.2_k_theta10.0Seed54654661,54654661,8.2,10.0,16.4,9.807198804032263,9.582449004462042,19.614397608064525,19.164898008924084,0,8001
k_r8.2_k_theta10.0Seed54654685,54654685,8.2,10.0,16.4,9.698109857030277,9.613439942559197,19.396219714060553,19.226879885118393,0,8001
k_r8.2_k_theta13.0Seed54654651,54654651,8.2,13.0,16.4,9.628303991100372,9.31410537864811,19.256607982200745,18.62821075729622,1,8001
k_r8.2_k_theta13.0Seed54654653,54654653,8.2,13.0,16.4,9.211816046005818,8.836684865234899,18.423632092011637,17.673369730469798,1,8001
k_r8.2_k_theta13.0Seed54654659,54654659,8.2,13.0,16.4,9.731624263822154,9.421163796299561,19.463248527644307,18.842327592599123,1,8001
k_r8.2_k_theta13.0Seed54654661,54654661,8.2,13.0,16.4,9.696565912787758,9.711461902881565,19.393131825575516,19.42292380576313,1,8001
k_r8.2_k_theta13.0Seed54654685,54654685,8.2,13.0,16.4,9.69106750040951,9.59496068247357,19.38213500081902,19.18992136494714,0,8001
k_r8.2_k_theta4.0Seed54654651,54654651,8.2,4.0,16.4,9.629586188441314,9.160614831280473,19.259172376882628,18.321229662560945,1,8001
k_r8.2_k_theta4.0Seed54654653,54654653,8.2,4.0,16.4,9.5068120438294,9.24393021274809,19.0136240876588,18.48786042549618,1,8001
k_r8.2_k_theta4.0Seed54654659,54654659,8.2,4.0,16.4,9.804235683952273,9.734444390415556,19.608471367904546,19.46888878083111,0,8001
k_r8.2_k_theta4.0Seed54654661,54654661,8.2,4.0,16.4,9.510892188594259,9.566635565501079,19.021784377188517,19.133271131002157,1,8001
k_r8.2_k_theta4.0Seed54654685,54654685,8.2,4.0,16.4,9.897361105913388,9.692646632699956,19.794722211826777,19.385293265399913,1,8001
k_r8.2_k_theta7.0Seed54654651,54654651,8.2,7.0,16.4,9.505879508362618,9.411793414396328,19.011759016725236,18.823586828792656,1,8001
k_r8.2_k_theta7.0Seed54654653,54654653,8.2,7.0,16.4,9.260768538894009,9.233702137723602,18.521537077788018,18.467404275447205,1,8001
k_r8.2_k_theta7.0Seed54654659,54654659,8.2,7.0,16.4,9.94521583692462,9.723325445702159,19.89043167384924,19.446650891404317,0,8001
k_r8.2_k_theta7.0Seed54654661,54654661,8.2,7.0,16.4,9.66955957427854,9.633389400306486,19.33911914855708,19.266778800612972,1,8001
k_r8.2_k_theta7.0Seed54654685,54654685,8.2,7.0,16.4,9.68749659790317,9.589173396543064,19.37499319580634,19.178346793086128,0,8001
k_r9.2_k_theta1.0Seed54654651,54654651,9.2,1.0,18.4,9.673478696997408,9.637916923536684,19.346957393994817,19.27583384707337,1,8001
k_r9.2_k_theta1.0Seed54654653,54654653,9.2,1.0,18.4,9.899463105296206,9.644253695485327,19.798926210592413,19.288507390970654,1,8001
k_r9.2_k_theta1.0Seed54654659,54654659,9.2,1.0,18.4,10.031374606260623,9.69988713114241,20.062749212521247,19.39977426228482,0,8001
k_r9.2_k_theta1.0Seed54654661,54654661,9.2,1.0,18.4,9.75602139073628,9.787459260351808,19.51204278147256,19.574918520703616,0,8001
k_r9.2_k_theta1.0Seed54654685,54654685,9.2,1.0,18.4,9.937357348420795,9.81905645286398,19.87471469684159,19.63811290572796,1,8001
k_r9.2_k_theta10.0Seed54654651,54654651,9.2,10.0,18.4,9.691652142384457,9.506450100738446,19.383304284768915,19.012900201476892,1,8001
k_r9.2_k_theta10.0Seed54654653,54654653,9.2,10.0,18.4,9.568265693940484,9.463417580733857,19.136531387880968,18.926835161467714,1,8001
k_r9.2_k_theta10.0Seed54654659,54654659,9.2,10.0,18.4,10.170889267182718,9.923294708098023,20.341778534365435,19.846589416196046,0,8001
k_r9.2_k_theta10.0Seed54654661,54654661,9.2,10.0,18.4,9.799284233098573,9.833427376402687,19.598568466197147,19.666854752805374,1,8001
k_r9.2_k_theta10.0Seed54654685,54654685,9.2,10.0,18.4,9.890810812337897,9.76784968853415,19.781621624675793,19.5356993770683,1,8001
k_r9.2_k_theta13.0Seed54654651,54654651,9.2,13.0,18.4,9.923574498681582,10.017781676676185,19.847148997363163,20.03556335335237,1,8001
k_r9.2_k_theta13.0Seed54654653,54654653,9.2,13.0,18.4,9.569742133439581,9.485097927450688,19.139484266879162,18.970195854901377,0,8001
k_r9.2_k_theta13.0Seed54654659,54654659,9.2,13.0,18.4,10.055077652024005,9.895644234295661,20.11015530404801,19.791288468591322,0,8001
k_r9.2_k_theta13.0Seed54654661,54654661,9.2,13.0,18.4,10.181724883414432,10.05176922198109,20.363449766828865,20.10353844396218,0,8001
k_r9.2_k_theta13.0Seed54654685,54654685,9.2,13.0,18.4,9.841361894480954,9.697183494099212,19.68272378896191,19.394366988198424,1,8001
k_r9.2_k_theta4.0Seed54654651,54654651,9.2,4.0,18.4,9.890416161647003,9.708270210772021,19.780832323294007,19.416540421544042,1,8001
k_r9.2_k_theta4.0Seed54654653,54654653,9.2,4.0,18.4,9.641070715175717,9.538716796092258,19.282141430351434,19.077433592184516,1,8001
k_r9.2_k_theta4.0Seed54654659,54654659,9.2,4.0,18.4,9.862910003793562,9.848383441288002,19.725820007587124,19.696766882576004,0,8001
k_r9.2_k_theta4.0Seed54654661,54654661,9.2,4.0,18.4,10.119516943396714,9.991851138417227,20.23903388679343,19.983702276834453,0,8001
k_r9.2_k_theta4.0Seed54654685,54654685,9.2,4.0,18.4,10.074277748276504,10.08885867714998,20.14855549655301,20.17771735429996,1,8001
k_r9.2_k_theta7.0Seed54654651,54654651,9.2,7.0,18.4,9.62419899803355,9.497908060272405,19.2483979960671,18.99581612054481,0,8001
k_r9.2_k_theta7.0Seed54654653,54654653,9.2,7.0,18.4,9.719674546673051,9.605275138407846,19.439349093346102,19.21055027681569,0,8001
k_r9.2_k_theta7.0Seed54654659,54654659,9.2,7.0,18.4,10.231253722663224,10.103949746537152,20.462507445326448,20.207899493074304,0,8001
k_r9.2_k_theta7.0Seed54654661,54654661,9.2,7.0,18.4,9.875639698473417,9.785437963498264,19.751279396946835,19.57087592699653,1,8001
k_r9.2_k_theta7.0Seed54654685,54654685,9.2,7.0,18.4,10.093703449901193,10.014736757850839,20.187406899802387,20.029473515701678,1,8001
